n,m,POBLACION,GENERACION,CROSSOVER,MUTACION,NL
10,1,100,100,0.01,0.001,473	
10,1,100,100,0.01,0.0033,471	
10,1,100,100,0.01,0.01,471	
10,1,100,100,0.01,0.033,471	
10,1,100,100,0.01,0.1,471	
10,1,100,100,0.01,0.33,473	
10,1,100,100,0.033,0.001,472	
10,1,100,100,0.033,0.0033,470	
10,1,100,100,0.033,0.01,471	
10,1,100,100,0.033,0.033,470	
10,1,100,100,0.033,0.1,469	
10,1,100,100,0.033,0.33,471	
10,1,100,100,0.1,0.001,471	
10,1,100,100,0.1,0.0033,470	
10,1,100,100,0.1,0.01,470	
10,1,100,100,0.1,0.033,471	
10,1,100,100,0.1,0.1,470	
10,1,100,100,0.1,0.33,470	
10,1,100,100,0.3,0.001,470	
10,1,100,100,0.3,0.0033,470	
10,1,100,100,0.3,0.01,469	
10,1,100,100,0.3,0.033,469	
10,1,100,100,0.3,0.1,470	
10,1,100,100,0.3,0.33,470	
10,1,100,100,0.9,0.001,470	
10,1,100,100,0.9,0.0033,470	
10,1,100,100,0.9,0.01,469	
10,1,100,100,0.9,0.033,469	
10,1,100,100,0.9,0.1,471	
10,1,100,100,0.9,0.33,470	
10,1,100,1000,0.01,0.001,473	
10,1,100,1000,0.01,0.0033,474	
10,1,100,1000,0.01,0.01,474	
10,1,100,1000,0.01,0.033,473	
10,1,100,1000,0.01,0.1,474	
10,1,100,1000,0.01,0.33,472	
10,1,100,1000,0.033,0.001,472	
10,1,100,1000,0.033,0.0033,472	
10,1,100,1000,0.033,0.01,473	
10,1,100,1000,0.033,0.033,471	
10,1,100,1000,0.033,0.1,471	
10,1,100,1000,0.033,0.33,471	
10,1,100,1000,0.1,0.001,471	
10,1,100,1000,0.1,0.0033,470	
10,1,100,1000,0.1,0.01,470	
10,1,100,1000,0.1,0.033,471	
10,1,100,1000,0.1,0.1,471	
10,1,100,1000,0.1,0.33,470	
10,1,100,1000,0.3,0.001,471	
10,1,100,1000,0.3,0.0033,470	
10,1,100,1000,0.3,0.01,471	
10,1,100,1000,0.3,0.033,470	
10,1,100,1000,0.3,0.1,471	
10,1,100,1000,0.3,0.33,471	
10,1,100,1000,0.9,0.001,472	
10,1,100,1000,0.9,0.0033,471	
10,1,100,1000,0.9,0.01,471	
10,1,100,1000,0.9,0.033,471	
10,1,100,1000,0.9,0.1,471	
10,1,100,1000,0.9,0.33,471	
10,1,100,33,0.01,0.001,472	
10,1,100,33,0.01,0.0033,471	
10,1,100,33,0.01,0.01,470	
10,1,100,33,0.01,0.033,469	
10,1,100,33,0.01,0.1,470	
10,1,100,33,0.01,0.33,470	
10,1,100,33,0.033,0.001,469	
10,1,100,33,0.033,0.0033,470	
10,1,100,33,0.033,0.01,469	
10,1,100,33,0.033,0.033,470	
10,1,100,33,0.033,0.1,470	
10,1,100,33,0.033,0.33,469	
10,1,100,33,0.1,0.001,470	
10,1,100,33,0.1,0.0033,470	
10,1,100,33,0.1,0.01,469	
10,1,100,33,0.1,0.033,469	
10,1,100,33,0.1,0.1,469	
10,1,100,33,0.1,0.33,469	
10,1,100,33,0.3,0.001,470	
10,1,100,33,0.3,0.0033,470	
10,1,100,33,0.3,0.01,469	
